prompt,response
What is 91Trucks?,"91Trucks is a digital platform specializing in the commercial vehicle industry in India. It offers information on trucks, buses, and auto rickshaws, including prices, specifications, comparisons, dealership details, and industry news. Additionally, it operates physical stores for used commercial vehicle sales."
When was 91Trucks founded?,The company was established in 2022.
Who are the founders of 91Trucks?,"The company was founded by Siddharth Sharma, Abhishek Gautam, and Vikas Sharma."
Where is 91Trucks headquartered?,"91Trucks is based in Gurugram, Haryana, India."
What is the primary business model of 91Trucks?,"91Trucks operates as an online listing platform for commercial vehicles, providing users with detailed information and facilitating connections with dealers. It also earns revenue through commissions from financing and insurance partnerships."
Does 91Trucks have physical stores?,"Yes, 91Trucks operates physical stores in Delhi NCR and Meerut, offering used commercial vehicles for sale."
What types of vehicles are listed on 91Trucks?,"The platform lists trucks, buses, and three-wheelers, including both new and used vehicles."
Does 91Trucks offer vehicle financing options?,"Yes, 91Trucks partners with financial institutions to provide tailored financing options for vehicle buyers."
Is insurance available through 91Trucks?,"Yes, the platform offers insurance products for commercial vehicles through its partnerships."
What is the user base of 91Trucks?,"As of the latest data, 91Trucks has a growing user base, primarily consisting of individuals and businesses interested in commercial vehicles."
Who are the main investors in 91Trucks?,"Investors include Titan Capital, Arkam Ventures, Sparrow Capital, and Atrium Angels."
How much funding has 91Trucks raised?,The company has raised a total of $5 million in its Series A funding round.
What is the valuation of 91Trucks?,"Post-Series A, 91Trucks was valued at approximately ₹280 crore (around $33 million)."
What is the revenue of 91Trucks?,"As of March 31, 2024, the company's annual revenue was ₹10.1 crore."
How many employees does 91Trucks have?,"As of February 2025, the company employs 55 people."
What are the subsidiary platforms of 91Trucks?,91Trucks has launched specialized platforms such as 91Tractors for tractors and 91Infra for construction equipment.
Does 91Trucks provide vehicle reviews?,"Yes, the platform offers transparent reviews, detailed videos, and updated specifications of all listed vehicles."
Can users compare different vehicle models on 91Trucks?,"Yes, users can compare various models based on specifications, prices, and other features."
Is there a mobile application for 91Trucks?,"As of now, 91Trucks primarily operates through its website; information about a mobile app is not specified."
What is the vision of 91Trucks?,The company's goal is to transform the commercial vehicle industry by improving digital presence and supporting entrepreneurship in logistics and transportation.
Does 91Trucks support government initiatives?,"Yes, 91Trucks supports the ""Atma Nirbhar Bharat"" initiative, aiming to empower young entrepreneurs in the country."
What is the legal entity behind 91Trucks?,The company operates under Vansun Ventures Private Limited.
When was Vansun Ventures Private Limited incorporated?,"It was incorporated on March 28, 2022."
What is the revenue of Vansun Ventures Private Limited?,"As of March 31, 2024, the revenue was reported at $1.22 million."
What is the net profit of Vansun Ventures Private Limited?,Specific net profit figures are not publicly disclosed.
Who is the CEO of 91Trucks?,Siddharth Sharma serves as the CEO of 91Trucks.
What is the role of Abhishek Gautam in 91Trucks?,He is a co-founder and serves on the board of directors.
What is the role of Vikas Sharma in 91Trucks?,He is a co-founder and serves on the board of directors.
Does 91Trucks have any competitors?,"Yes, competitors include TractorJunction, BusesDekho, Cavalo, and others."
